filename,cluster_label
D003_c_0004882_patch_2_2.png,1
D003_c_0004887_patch_1_1.png,1
D003_c_0004888_patch_2_2.png,1
D003_c_0004893_patch_2_2.png,1
D003_c_0004894_patch_2_2.png,1
D003_c_0004901_patch_1_2.png,1
D003_c_0004904_patch_2_1.png,1
D003_c_0004905_patch_1_2.png,1
D003_c_0004908_patch_1_2.png,1
D003_c_0004911_patch_2_2.png,1
D003_c_0004914_patch_2_2.png,1
D003_c_0004915_patch_2_2.png,1
D003_c_0004917_patch_2_2.png,1
D003_c_0004920_patch_2_1.png,1
D003_c_0004921_patch_2_2.png,1
D003_c_0004926_patch_1_3.png,1
D003_c_0004928_patch_1_1.png,3
D003_c_0004929_patch_1_1.png,1
D003_c_0004931_patch_1_1.png,1
D003_c_0004932_patch_1_1.png,1
D003_c_0004933_patch_1_1.png,1
D003_c_0004934_patch_1_1.png,1
D003_c_0004942_patch_1_1.png,1
D004_c_0004178_patch_1_1.png,1
D004_c_0004179_patch_2_2.png,2
D004_c_0004180_patch_1_2.png,1
D004_c_0004181_patch_1_1.png,1
D004_c_0004182_patch_1_1.png,1
D004_c_0004183_patch_2_1.png,1
D004_c_0004184_patch_1_1.png,1
D004_c_0004185_patch_1_1.png,3
D004_c_0004186_patch_1_2.png,2
D004_c_0004187_patch_1_2.png,3
D004_c_0004188_patch_3_1.png,3
D004_c_0004189_patch_2_1.png,1
D004_c_0004190_patch_3_1.png,3
D004_c_0004191_patch_2_1.png,3
D004_c_0004192_patch_2_2.png,1
D004_c_0004193_patch_2_2.png,3
D004_c_0004194_patch_2_2.png,3
D004_c_0004195_patch_1_1.png,3
D004_c_0004196_patch_2_1.png,1
D004_c_0004197_patch_2_2.png,1
D004_c_0004198_patch_2_1.png,3
D004_c_0004199_patch_2_1.png,1
D004_c_0004200_patch_1_1.png,3
D004_c_0004201_patch_2_2.png,3
D004_c_0004202_patch_2_1.png,3
D004_c_0004788_patch_2_0.png,1
D004_c_0004789_patch_2_0.png,1
D004_c_0004790_patch_2_2.png,3
D004_c_0004791_patch_2_2.png,3
D004_c_0004793_patch_2_2.png,1
D004_c_0004794_patch_1_2.png,3
D004_c_0004796_patch_1_1.png,3
D004_c_0004797_patch_2_2.png,2
D004_c_0004798_patch_2_1.png,3
D004_c_0004799_patch_2_1.png,1
D004_c_0004800_patch_1_3.png,1
D004_c_0004801_patch_1_1.png,3
D004_c_0004802_patch_1_2.png,1
D004_c_0004803_patch_2_1.png,3
D004_c_0004804_patch_2_2.png,2
D004_c_0004805_patch_2_1.png,2
D004_c_0004806_patch_2_3.png,1
D004_c_0004807_patch_3_2.png,3
D004_c_0004808_patch_1_2.png,3
D004_c_0004809_patch_2_1.png,1
D004_c_0004810_patch_1_1.png,1
D004_c_0004811_patch_1_2.png,3
D004_c_0004812_patch_2_1.png,1
D004_c_0004813_patch_1_2.png,1
D004_c_0004814_patch_1_2.png,3
D004_c_0004820_patch_1_1.png,3
D004_c_0004822_patch_2_2.png,3
